Ticker,Actural,Estimated,Released
HP,-0.45,-0.4665,20170427
HPE,-0.37,0.35,N/A
HPP,0.02,0.02,20170803
HPQ,0.33,0.4,N/A
HPT,0.37,0.37,20170809
HRB,-0.68,-0.67,20161207
HRC,0.52,0.88,20170428
HRL,0.4,0.3909,N/A
HRS,1.42,1.42,20170202
HSIC,0.43,0.875,20170808
HST,0.28,0.2842,20170726
HSY,0.955,1.09,20170726
HTA,-0.03,0.0729,20170731
HUBB,1.44,1.43,20170725
HUM,4.49,3.49,20170802
HUN,0.7,0.85,20170727
HXL,0.68,0.67,20170724
IAC,0.84,0.6668,20170802
IART,0.14,0.45,20170726
IBKR VF Equity,0.33,0.41,20170718
IBM,2.49,2.97,20170718
ICE,0.71,0.75,20170803
ICUI,-1.87,0.2842,20170809
IDXX,0.97,0.9497,20170801
IEX,1.1,1.08,20170725
IFF,1.39,1.5,20170808
IGT,-1.43,0.15,20170801
ILMN,0.87,0.82,20170801
INCY,-0.06,0.026,20170801
INFO,0.25,0.2972,20170627
INGR,1.81,1.89,20170801
INTC,0.6,0.72,20170727
INTU,0.05,0.0725,20170223
INVH,0.02,-0.0115,20170810
IONS,-0.02,-0.0904,20170808
IP,0.19,0.65,20170727
IPG,0.27,0.27,20170725
IPGP,1.95,1.9255,20170801
IQV,0.28,0.5245,20170803
IR,1.4,1.5002,20170726
IRM,0.3,0.3,20170728
ISRG,0.67,1.7454,20170720
IT,-1.03,0.88,20170808
ITT,0.54,0.65,20170804
ITW,1.7,1.66,20170724
IVZ,0.58,0.64,20170727
JAZZ,1.76,1.7393,20170808
JBGS,N/A,N/A,20170814
JBHT,0.89,0.8831,20170717
JBL,0.11,0.2725,20170315
JBLU,0.63,0.6365,20170725
JCI,-0.16,0.5,20170427
JEC,0.41,0.78,20170509
JEF,0.16,0.16,20170727
JKHY,0.76,0.7523,20170207
JLL,2.08,1.82,20170802
JNJ,1.42,1.83,20170718
JNPR,0.47,0.4869,20170725
JPM,1.83,1.7126,20170714
JW/A,-0.2,0.76,20161207
JWN,0.67,0.67,N/A
K,0.81,0.97,20170803
KAR,0.42,0.65,20170808
KDP,1.02,1.25,20170727
KEX,0.48,0.4822,20170726
KEY,0.37,0.34,20170720
KEYS,0.28,0.4989,N/A
KHC,0.95,0.98,20170803
KIM,0.31,0.3789,20170726
KLAC,1.52,1.52,20170126
KMB,1.5,1.49,20170725
KMI,0.15,0.14,20170719
KMX,0.85,0.8785,20160921
KNX,0.3056,0.3472,20170724
KO,0.32,0.59,20170726
KORS,0.97,0.95,20161110
KOS,-0.02,-0.02,20170807
KR,0.4,0.47,20160909
KRC,0.3,0.3,20170726
KSS,0.77,1.22,N/A
KSU,1.27,1.33,20170721
L,0.69,0.7521,20170731
LAMR,0.94,0.9341,20170808
LAZ,0.98,0.98,20170727
LB,0.88,0.7,N/A
LBRDA,-0.02,0.0025,20170802
LBRDK,N/A,N/A,20170802
LDOS,0.65,1.04,20170803
LEA,4.53,4.39,20170726
LECO,0.93,0.97,20170725
LEG,0.64,0.64,20170727
LEN,0.8725,0.902,20170620
LEN/B,0.8725,0.902,20170620
LFUS,2.13,2.1,20170802
LGF/A,-0.24,0.0093,20161103
LGF/B,-0.12,0.0047,20161103
LH,1.8,2.47,20170726
LII,2.73,2.83,20170724
LIN,N/A,N/A,N/A
LKQ,0.49,0.53,20170727
LLL,2.59,2.54,20170727
LLY,0.96,1.11,20170725
LM,0.63,0.6904,20161028
LMT,3.31,3.2349,20170718
LNC,1.84,1.85,20170802
LNG UA Equity,-1.23,-1.0839,20170808
LNT,0.41,0.41,20170803
LOGM,0.28,0.3998,20170727
LOPE,0.85,0.8282,20170801
LOW,1.32,1.37,20160817
LPLA,0.76,0.74,20170727
LPT,0.35,0.3086,20170725
LRCX,2.05,2.24,20170125
LSI,0.42,0.4164,20170802
LSTR,0.89,0.89,20170726
LSXMA,0.37,0.3625,20170809
LSXMK,0.37,0.3625,20170809
LULU,0.39,0.38,N/A
LUV,1.23,1.24,20170727
LVS,0.69,0.73,20170726
LW,0.59,0.6286,20170110
LYB,2.8229,2.82,20170728
LYV,0.31,0.3047,20170809
M,0.02,0.54,N/A
MA,1.1,1.1,20170727
MAA,0.42,0.4339,20170726
MAC,0.19,0.1914,20170802
MAN,1.74,1.7206,20170724
MANH,0.45,0.4771,20170720
MAR,1.29,1.13,20170807
MAS,0.51,0.6,20170727
MASI,0.87,0.83,20170802
MAT,-0.16,-0.14,20170727
MCD,1.72,1.733,20170725
MCHP,0.16,0.2197,20161107
MCK,1.36,2.94,20161027
MCO,1.63,1.51,20170721
MCY,0.93,0.68,20170731
MD,0.69,0.6863,20170728
MDLZ,0.33,0.48,20170802
MDT,0.81,1.12,20161122
MDU,0.21,0.2235,20170801
MET,0.81,1.3,20170802
MFA,0.2,0.1872,20170802
MGM,0.36,0.3418,20170727
MHK,3.51,3.72,20170727
MIC,0.32,0.32,20170802
MIDD,1.35,1.3938,20170809
MIK,0.17,0.17,N/A
MKC,0.8,0.82,20170629
MKL,10.34,9.4915,20170726
MKSI,2.22,1.41,20170725
MKTX,1.03,0.9986,20170726
MLM,2.26,2.0945,20170801
MMC,0.98,1,20170727
MMM,2.65,2.58,20170725
MNST,0.39,0.3854,20170808
MO,1.03,0.85,20170727
MOH,-4.1,-4.01,20170802
MORN,1.07,0.6454,20170725
MOS,0.28,0.2906,20170801
MPC,0.94,1.0238,20170727
MPW,0.21,0.2128,20170809
MPWR,0.36,0.3503,20170726
MRK,0.71,1.01,20170728
MRO,-0.16,-0.24,20170802
MRVL,0.1,0.1005,N/A
MS,0.89,0.87,20170719
MSCI,0.9,0.95,20170803
MSFT,0.81,0.84,20170126
MSG,2.41,2.391,20170203
MSI,0.8,0.8751,20170803
MSM,0.94,0.9361,20170406
MTB,2.36,2.35,20170719
MTCH,0.2,0.1742,20170802
MTD,3.94,3.92,20170727
MTN,3.72,3.6691,20170310
MU,0.81,0.8531,20170323
MUR,-0.1,-0.11,20170802
MXIM,0.46,0.46,20170126
MYL,0.56,1.1,20170809
NATI,0.19,0.2249,20170727
NAVI,0.4,0.43,20170718
NBIX,-0.68,-0.68,20170803
NBL,-3.2,0.05,20170803
NBR,-0.46,-0.41,20170802
NCLH,0.87,1.02,20170808
NCR,0.74,0.8,20170720
NDAQ,0.88,1.02,20170726
NDSN,1.12,1.35,N/A
NEE,1.69,1.86,20170726
NEM,0.33,0.46,20170725
NEU,5.29,5.29,20170802
NFG,1.05,1.04,20170504
NFLX,0.15,0.147,20170717
NFX,0.49,0.43,20170801
NI,-0.14,0.1,20170802
NKE,0.51,0.5,20161220
NKTR,-0.39,-0.3854,20170808
NLSN,0.37,0.4112,20170727
NLY,-0.01,0.3,20170802
NNN,0.33,0.3615,20170801
NOC,3.18,3.1453,20170726
NOV,-0.2,-0.14,20170727
NOW,-0.33,-0.2655,20170726
NRG,-1.98,0.3259,20170803
NRZ,1.05,1.03,20170731
NSC,1.72,1.6822,20170726
