Ticker,Actural,Estimated,Released
JW/A,-0.2,0.76,2016-12-07T16:00:00
K,0.81,0.97,2017-08-03T16:00:00
KAR,0.42,0.65,2017-08-08T16:00:00
KDP,1.02,1.25,2017-07-27T16:00:00
KEX,0.48,0.4822,2017-07-26T16:00:00
KEY,0.37,0.34,2017-07-20T16:00:00
KHC,0.95,0.98,2017-08-03T16:00:00
KIM,0.31,0.3789,2017-07-26T16:00:00
KLAC,1.52,1.52,2017-01-26T16:00:00
KMB,1.5,1.49,2017-07-25T16:00:00
KMI,0.15,0.14,2017-07-19T16:00:00
KMX,0.85,0.8785,2016-09-21T16:00:00
KNX,0.3056,0.3472,2017-07-24T16:00:00
KO,0.32,0.59,2017-07-26T16:00:00
KORS,0.97,0.95,2016-11-10T16:00:00
KOS,-0.02,-0.02,2017-08-07T16:00:00
KR,0.4,0.47,2016-09-09T16:00:00
KRC,0.3,0.3,2017-07-26T16:00:00
KSU,1.27,1.33,2017-07-21T16:00:00
L,0.69,0.7521,2017-07-31T16:00:00
LAMR,0.94,0.9341,2017-08-08T16:00:00
LAZ,0.98,0.98,2017-07-27T16:00:00
LBRDA,-0.02,0.0025,2017-08-02T16:00:00
LDOS,0.65,1.04,2017-08-03T16:00:00
LEA,4.53,4.39,2017-07-26T16:00:00
LECO,0.93,0.97,2017-07-25T16:00:00
LEG,0.64,0.64,2017-07-27T16:00:00
LEN,0.8725,0.902,2017-06-20T16:00:00
LEN/B,0.8725,0.902,2017-06-20T16:00:00
LFUS,2.13,2.1,2017-08-02T16:00:00
LGF/A,-0.24,0.0093,2016-11-03T16:00:00
LGF/B,-0.12,0.0047,2016-11-03T16:00:00
LH,1.8,2.47,2017-07-26T16:00:00
LII,2.73,2.83,2017-07-24T16:00:00
LKQ,0.49,0.53,2017-07-27T16:00:00
LLL,2.59,2.54,2017-07-27T16:00:00
LLY,0.96,1.11,2017-07-25T16:00:00
LM,0.63,0.6904,2016-10-28T16:00:00
LMT,3.31,3.2349,2017-07-18T16:00:00
LNC,1.84,1.85,2017-08-02T16:00:00
LNG UA Equity,-1.23,-1.0839,2017-08-08T16:00:00
LNT,0.41,0.41,2017-08-03T16:00:00
LOGM,0.28,0.3998,2017-07-27T16:00:00
LOPE,0.85,0.8282,2017-08-01T16:00:00
LOW,1.32,1.37,2016-08-17T16:00:00
LPLA,0.76,0.74,2017-07-27T16:00:00
LPT,0.35,0.3086,2017-07-25T16:00:00
LRCX,2.05,2.24,2017-01-25T16:00:00
LSI,0.42,0.4164,2017-08-02T16:00:00
LSTR,0.89,0.89,2017-07-26T16:00:00
LSXMA,0.37,0.3625,2017-08-09T16:00:00
LSXMK,0.37,0.3625,2017-08-09T16:00:00
LUV,1.23,1.24,2017-07-27T16:00:00
LVS,0.69,0.73,2017-07-26T16:00:00
LW,0.59,0.6286,2017-01-10T16:00:00
LYB,2.8229,2.82,2017-07-28T16:00:00
LYV,0.31,0.3047,2017-08-09T16:00:00
MA,1.1,1.1,2017-07-27T16:00:00
MAA,0.42,0.4339,2017-07-26T16:00:00
MAC,0.19,0.1914,2017-08-02T16:00:00
MAN,1.74,1.7206,2017-07-24T16:00:00
MANH,0.45,0.4771,2017-07-20T16:00:00
MAR,1.29,1.13,2017-08-07T16:00:00
MAS,0.51,0.6,2017-07-27T16:00:00
MASI,0.87,0.83,2017-08-02T16:00:00
MAT,-0.16,-0.14,2017-07-27T16:00:00
